consumer_id,provider_id,score
6,6,100
6,17,88.88888888888889
6,19,56.25
6,20,21.428571428571427
6,22,28.57142857142857
6,28,100
6,29,85.71428571428571
6,35,89.47368421052632
6,44,77.77777777777779
7,17,100
7,43,100
8,8,50
8,12,54.54545454545454
8,14,100
8,16,50
8,17,51.66666666666667
8,19,14.285714285714285
8,21,100
8,28,42.42424242424242
8,29,25
8,32,25
8,33,100
8,35,0
8,38,32.142857142857146
8,43,46
8,44,66.66666666666666
10,10,50
10,17,100
10,19,56.52173913043478
10,22,62.06896551724138
10,25,71.23287671232876
10,35,91.30434782608695
10,37,33.33333333333333
10,38,66.12903225806451
10,44,100
11,8,0
11,24,100
11,28,100
11,29,95
11,42,100
11,44,94.44444444444444
12,8,35.294117647058826
12,12,100
12,14,0
12,19,50
12,29,0
12,33,100
12,38,63.63636363636363
12,43,26.47058823529412
14,8,100
14,12,100
14,14,100
14,19,100
14,33,100
14,38,100
14,43,100
16,8,0
16,16,84.61538461538461
16,28,50
16,29,0
17,6,63.63636363636363
17,7,100
17,8,51.724137931034484
17,10,92.85714285714286
17,17,87.5
17,19,55.55555555555556
17,20,100
17,21,0
17,22,92
17,24,75
17,28,52.63157894736842
17,29,63.1578947368421
17,32,100
17,33,80
17,34,100
17,35,91.07142857142857
17,37,0
17,38,100
17,42,91.66666666666666
17,43,100
17,44,46.15384615384615
19,6,66.66666666666666
19,8,65
19,10,60.396039603960396
19,12,80
19,14,100
19,17,71.42857142857143
19,19,72.31638418079096
19,20,75.75757575757575
19,21,0
19,22,30.48780487804878
19,24,75
19,25,62.13592233009708
19,28,52.17391304347826
19,29,82.22222222222221
19,32,67.2
19,33,90.32258064516128
19,35,74.03100775193798
19,37,58.333333333333336
19,38,49.35064935064935
19,43,85.18518518518519
19,44,57.89473684210527
19,45,66.66666666666666
20,6,16.666666666666664
20,19,100
20,20,100
20,28,83.33333333333334
20,29,100
20,35,100
20,38,50
20,44,51.85185185185185
21,8,100
21,17,100
21,19,100
21,21,100
21,28,95.45454545454545
21,33,100
21,38,100
21,43,100
22,6,22.22222222222222
22,10,37.704918032786885
22,17,74.07407407407408
22,19,37.301587301587304
22,20,33.33333333333333
22,22,92.3076923076923
22,25,68
22,28,42.30769230769231
22,29,0
22,33,100
22,35,71.54471544715447
22,37,15.384615384615385
22,38,58.19672131147541
22,42,100
22,44,66.66666666666666
22,45,100
25,10,75
25,19,55.0561797752809
25,22,68
25,25,50
25,35,86.66666666666667
25,37,100
25,38,73.84615384615385
25,44,0
28,6,100
28,7,0
28,8,3.896103896103896
28,11,77.77777777777779
28,14,100
